open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2026-05-09 11:05:00,80289.05,80293.64,80270.25,80278.57,74.78168,2026-05-09 11:09:59.999,6003566.31566390,2326,47.61166000,3822126.05184200,0
2026-05-09 11:10:00,80278.56,80332.74,80278.56,80319.87,23.7186,2026-05-09 11:14:59.999,1904834.51100580,2540,20.20939000,1622965.49861270,0
2026-05-09 11:15:00,80319.88,80346.94,80319.87,80341.29,16.66853,2026-05-09 11:19:59.999,1339067.92408210,1737,14.51219000,1165839.27172260,0
2026-05-09 11:20:00,80341.28,80366.07,80341.28,80343.82,13.40475,2026-05-09 11:24:59.999,1077142.08875890,2170,11.17182000,897701.87084600,0
2026-05-09 11:25:00,80343.81,80343.82,80339.18,80340.93,5.82046,2026-05-09 11:29:59.999,467619.12941440,1314,3.63241000,291827.09904490,0
2026-05-09 11:30:00,80340.92,80354.96,80340.0,80354.96,18.38077,2026-05-09 11:34:59.999,1476768.53796030,1647,16.24417000,1305112.13368070,0
2026-05-09 11:35:00,80354.96,80354.96,80340.0,80340.0,12.67515,2026-05-09 11:39:59.999,1018379.05871860,1459,4.86789000,391094.50114550,0
2026-05-09 11:40:00,80340.0,80340.01,80339.18,80339.19,17.06453,2026-05-09 11:44:59.999,1370951.70461860,1036,13.84588000,1112366.92220720,0
2026-05-09 11:45:00,80339.19,80361.33,80338.98,80338.98,31.41795,2026-05-09 11:49:59.999,2524497.75961590,2723,13.65282000,1096979.77007500,0
2026-05-09 11:50:00,80338.98,80341.75,80332.0,80341.74,7.30769,2026-05-09 11:54:59.999,587074.66693060,1238,4.97227000,399447.53486610,0
2026-05-09 11:55:00,80341.75,80365.31,80341.74,80345.46,33.30927,2026-05-09 11:59:59.999,2676622.29303380,2819,14.55546000,1169538.91082330,0
2026-05-09 12:00:00,80345.47,80359.91,80342.0,80359.91,12.43257,2026-05-09 12:04:59.999,998912.47483440,1807,10.78955000,866905.31404740,0
2026-05-09 12:05:00,80359.9,80372.3,80304.06,80304.06,29.36798,2026-05-09 12:09:59.999,2359797.62917660,4022,10.27767000,825879.37640760,0
2026-05-09 12:10:00,80304.07,80315.52,80304.06,80315.5,35.24879,2026-05-09 12:14:59.999,2830935.29345780,1521,30.53789000,2452602.22665270,0
2026-05-09 12:15:00,80315.5,80323.66,80274.03,80323.66,50.24826,2026-05-09 12:19:59.999,4035030.30528190,4254,37.65711000,3023936.15430590,0
2026-05-09 12:20:00,80323.65,80398.0,80323.65,80397.99,41.87044,2026-05-09 12:24:59.999,3365171.32315380,3188,29.11537000,2339905.69386690,0
2026-05-09 12:25:00,80398.0,80416.21,80378.31,80416.2,58.4544,2026-05-09 12:29:59.999,4699540.08026980,4719,41.88125000,3367045.41044640,0
2026-05-09 12:30:00,80416.21,80416.21,80342.0,80353.41,14.33237,2026-05-09 12:34:59.999,1151932.78482450,3224,4.70338000,377927.88745020,0
2026-05-09 12:35:00,80353.41,80353.41,80324.37,80329.69,32.26623,2026-05-09 12:39:59.999,2592218.50970420,2364,9.42655000,757261.30425490,0
2026-05-09 12:40:00,80329.69,80350.96,80329.69,80350.95,27.15478,2026-05-09 12:44:59.999,2181620.37749870,1969,24.35127000,1956402.63081100,0
2026-05-09 12:45:00,80350.95,80382.36,80350.95,80382.35,37.34775,2026-05-09 12:49:59.999,3001438.95877310,1920,36.13569000,2904023.49270500,0
2026-05-09 12:50:00,80382.36,80408.0,80382.35,80398.04,11.31683,2026-05-09 12:54:59.999,909819.77951260,2046,7.48353000,601615.72426850,0
2026-05-09 12:55:00,80398.03,80398.04,80386.09,80397.97,7.41675,2026-05-09 12:59:59.999,596263.60618610,1110,3.29911000,265217.97762350,0
2026-05-09 13:00:00,80397.97,80408.0,80381.2,80381.21,9.52822,2026-05-09 13:04:59.999,766068.49672680,2654,4.69604000,377560.33901780,0
2026-05-09 13:05:00,80381.2,80415.22,80379.99,80413.98,35.20543,2026-05-09 13:09:59.999,2830412.71291310,2388,31.31227000,2517416.82539870,0
2026-05-09 13:10:00,80413.98,80422.0,80379.77,80421.99,34.71341,2026-05-09 13:14:59.999,2790969.30275990,3275,30.55536000,2456657.95091200,0
2026-05-09 13:15:00,80422.0,80422.0,80384.0,80384.01,18.20846,2026-05-09 13:19:59.999,1464011.37066360,2637,8.47646000,681511.08903010,0
